DROP TABLE
CREATE TABLE
INSERT 0 69
INSERT 0 65
   data    | cedola | ordini | colli | righe | copie  | ordini_ff | colli_ff | righe_ff | copie_ff 
-----------+--------+--------+-------+-------+--------+-----------+----------+----------+----------
 018-01-02 | 111    |    297 |   948 |  1191 |  25286 |       255 |      523 |      523 |      523
 018-01-03 | 111    |    592 |  1389 |  1865 |  43100 |       526 |     1063 |     1063 |     1063
 018-01-04 | 111    |    703 |  1347 |  1760 |  25510 |       432 |      807 |      807 |      807
 018-01-08 | 1      |    128 |   315 |  3793 |  12050 |        25 |       35 |       35 |       35
 018-01-09 | 1      |    704 |  2184 | 16466 | 100825 |       196 |      403 |      403 |      403
 018-01-10 | 1      |   1509 |  2499 | 19739 |  88707 |       163 |      255 |      255 |      255
 018-01-11 | 1      |    311 |  1198 | 13017 |  61034 |       156 |      307 |      307 |      307
 018-01-12 | 1      |    794 |  1813 | 19583 |  57219 |       348 |      475 |      475 |      475
 018-01-13 | 1      |    203 |   253 |  2751 |   4951 |           |          |          |         
 018-01-15 | 2      |    137 |   270 |  3612 |  16895 |        11 |       21 |       21 |       21
 018-01-16 | 2      |    613 |  1789 | 18121 |  77352 |       189 |      328 |      328 |      328
 018-01-17 | 2      |   1516 |  2588 | 20337 |  79758 |       182 |      293 |      293 |      293
 018-01-18 | 2      |    942 |  1608 | 19292 |  63527 |       247 |      344 |      344 |      344
 018-01-19 | 2      |    350 |  1173 | 13706 |  48042 |       124 |      183 |      183 |      183
 018-01-22 | 3      |     77 |   109 |   358 |   3689 |         1 |        1 |        1 |        1
 018-01-23 | 3      |    454 |  1846 | 16231 |  67403 |       236 |      772 |      772 |      772
 018-01-24 | 3      |   1154 |  2379 | 19377 |  76108 |       217 |      646 |      646 |      646
 018-01-25 | 3      |   1560 |  2662 | 20401 | 111248 |       197 |      506 |      506 |      506
 018-01-26 | 3      |    632 |  2370 | 26310 |  88375 |       271 |      754 |      754 |      754
 018-01-29 | 4      |    165 |   247 |  2196 |   7865 |        36 |       68 |       68 |       68
 018-01-30 | 4      |   1545 |  2641 | 17932 |  68781 |       335 |      658 |      658 |      658
 018-01-31 | 4      |    579 |  1367 | 14442 |  55691 |       504 |      841 |      841 |      841
 018-02-01 | 4      |    700 |  1301 | 15141 |  35068 |       219 |      410 |      410 |      410
 018-02-02 | 4      |    305 |   690 |  8577 |  27488 |       109 |      205 |      205 |      205
 018-02-05 | 5      |    275 |   531 |  5819 |  19923 |        36 |       55 |       55 |       55
 018-02-06 | 5      |   1457 |  2459 | 15140 |  98403 |       157 |      257 |      257 |      257
 018-02-07 | 5      |    397 |  1324 | 14883 |  57679 |       210 |      332 |      332 |      332
 018-02-08 | 5      |    733 |  1290 | 13982 |  36101 |       103 |      139 |      139 |      139
 018-02-09 | 5      |    477 |  1530 | 17204 |  49073 |       151 |      231 |      231 |      231
 018-02-12 | 6      |    230 |   413 |  4326 |  17827 |        43 |      149 |      149 |      149
 018-02-13 | 6      |    282 |  1299 | 10989 |  78736 |       267 |     1078 |     1078 |     1078
 018-02-14 | 6      |   1755 |  2608 | 16296 |  89041 |       377 |     1126 |     1126 |     1126
 018-02-15 | 6      |    345 |  1518 | 12746 |  74422 |       407 |     1238 |     1238 |     1238
 018-02-16 | 6      |   1003 |  2251 | 22006 |  72100 |       176 |      534 |      534 |      534
 018-02-19 | 7      |    258 |   657 |  1022 |  13976 |       100 |      296 |      296 |      296
 018-02-20 | 7      |   1191 |  2937 | 19812 |  86642 |       123 |      377 |      377 |      377
 018-02-21 | 7      |   1183 |  2563 | 16190 |  81998 |       455 |     1030 |     1030 |     1030
 018-02-22 | 7      |    371 |  2561 | 16528 |  95481 |       280 |      823 |      823 |      823
 018-02-23 | 7      |    907 |  2215 | 19656 |  60012 |       361 |      655 |      655 |      655
 018-02-26 | 8      |     76 |   158 |   676 |   5618 |        29 |       67 |       67 |       67
 018-02-27 | 8      |   1480 |  2934 | 17696 |  69510 |       133 |      259 |      259 |      259
 018-02-28 | 8      |    744 |  1958 | 17483 |  76890 |       239 |      485 |      485 |      485
 018-03-01 | 8      |    266 |  1063 |  7270 |  50376 |        31 |       68 |       68 |       68
 018-03-02 | 8      |    545 |  1742 | 16278 |  66852 |       147 |      271 |      271 |      271
 018-03-03 | 8      |    970 |  1863 | 17546 |  49509 |       158 |      282 |      282 |      282
 018-03-06 | 9      |    376 |  1406 | 13026 |  76785 |       111 |      259 |      259 |      259
 018-03-07 | 9      |    693 |  1471 | 16799 |  84736 |       386 |      649 |      649 |      649
 018-03-08 | 9      |   1717 |  2872 | 20001 |  83773 |       157 |      358 |      358 |      358
 018-03-09 | 9      |   1035 |  1995 | 24039 |  62705 |       342 |      522 |      522 |      522
 018-03-12 | 10     |    187 |   317 |  3761 |  25951 |        41 |      172 |      172 |      172
 018-03-13 | 10     |    476 |  2232 | 24010 | 115283 |       243 |     1063 |     1063 |     1063
 018-03-14 | 10     |   1841 |  3181 | 25768 | 123726 |       457 |     1286 |     1286 |     1286
 018-03-15 | 10     |    536 |  2126 | 24099 |  87858 |       287 |      771 |      771 |      771
 018-03-16 | 10     |    717 |  1525 | 18820 |  50823 |       149 |      445 |      445 |      445
 018-03-19 | 11     |    229 |   384 |  4663 |  21832 |        39 |       98 |       98 |       98
 018-03-20 | 11     |   1477 |  2591 | 20781 |  85464 |       210 |      524 |      524 |      524
 018-03-21 | 11     |    711 |  1504 | 17751 |  65998 |       583 |     1346 |     1346 |     1346
 018-03-22 | 11     |    624 |  1452 | 17733 |  51774 |       312 |      570 |      570 |      570
 018-03-23 | 11     |    496 |   776 |  9649 |  19386 |        48 |       85 |       85 |       85
 018-03-24 | 12     |    209 |   401 |  4640 |  12238 |        52 |      198 |      198 |      198
 018-03-26 | 12     |   1101 |  2123 | 14831 |  80229 |       346 |     1178 |     1178 |     1178
 018-03-27 | 12     |    606 |  1168 | 12788 |  57430 |       455 |      858 |      858 |      858
 018-03-27 | 122    |     15 |    40 |    87 |   1059 |       700 |     3480 |     3480 |     3480
 018-03-28 | 12     |    727 |  1245 | 15839 |  40305 |       377 |      723 |      723 |      723
 018-03-28 | 122    |        |       |       |        |       434 |     1788 |     1788 |     1788
 018-03-29 | 12     |    277 |   581 |  6900 |  18938 |        20 |       49 |       49 |       49
 018-04-03 | 13     |   1191 |  1954 |  9854 |  53547 |           |          |          |         
 018-04-04 | 13     |    486 |  1213 | 10945 |  51270 |           |          |          |         
