 anno | cedola | ordini | colli | copie | righe  | titoli | linee |  f1  |  f2  |  f3  |  ff  | fp  |  fc  
------+--------+--------+-------+-------+--------+--------+-------+------+------+------+------+-----+------
 2014 |      1 |   2249 |  7627 | 45884 | 301307 |     64 |    45 | 2830 | 1274 |  768 | 2630 | 125 |     
 2014 |      2 |   2261 |  4299 | 49979 | 205337 |     74 |    45 | 2188 | 1041 |  792 |  203 |  75 |     
 2014 |      3 |   2273 |  9649 | 41489 | 352795 |     69 |    46 | 3900 |  990 |  899 | 3606 | 254 |     
 2014 |      4 |   1990 |  6136 | 28229 | 276268 |     41 |    46 | 3044 |  971 |  647 | 1326 | 148 |     
 2014 |      5 |   2198 |  6355 | 47758 | 258759 |     82 |    46 | 1777 | 1072 |  880 | 2538 |  88 |     
 2014 |      6 |   3157 |  7577 | 45869 | 189051 |     77 |    46 | 2149 | 1122 | 1710 | 2361 | 235 |     
 2014 |      7 |   2489 |  6523 | 44129 | 313008 |     59 |    46 | 2693 | 1142 |  998 |  873 | 167 |  650
 2014 |      8 |   2530 | 10088 | 37936 | 218178 |     52 |    47 | 2901 | 1258 |  935 | 4897 |  97 |     
 2014 |      9 |   2534 |  7366 | 46502 | 296706 |     70 |    45 | 3793 | 1185 |  988 | 1289 | 111 |     
 2014 |     10 |   2416 |  9974 | 67627 | 349031 |    101 |    46 | 4490 | 1027 |  948 | 3365 | 144 |     
 2014 |     11 |   2442 |  7598 | 50874 | 301026 |     74 |    47 | 2801 | 1158 |  963 | 2177 | 174 |  325
 2014 |     12 |   2212 |  7663 | 50534 | 267782 |     73 |    49 | 2731 | 1126 |  797 | 2911 |  98 |     
 2014 |     13 |   2735 | 12665 | 63354 | 617283 |     92 |    49 | 5569 | 1297 | 1104 | 3397 | 240 | 1058
 2014 |     14 |   2397 |  6923 | 55143 | 266089 |     92 |    46 | 2853 | 1227 |  908 | 1840 |  95 |     
 2014 |     15 |   2141 |  6585 | 50519 | 217174 |     71 |    48 | 2147 | 1168 |  679 | 2498 |  93 |     
 2014 |     16 |   2507 |  9208 | 53537 | 363431 |     83 |    48 | 3141 | 1172 |  898 | 3171 | 145 |  681
 2014 |     17 |   2837 | 15610 | 93865 | 902880 |    123 |    49 | 7172 | 1382 | 1088 | 4936 | 319 |  713
 2014 |     18 |   2006 |  5170 | 48263 | 259130 |     73 |    46 | 2218 | 1011 |  667 | 1166 | 108 |     
 2014 |     19 |   2490 |  9161 | 74959 | 444641 |    117 |    49 | 4269 | 1296 |  868 | 2590 | 138 |     
 2014 |     20 |   1736 |  7781 | 52882 | 235310 |     95 |    48 | 2965 | 1059 |  292 | 3383 |  82 |     
 2014 |     21 |   2341 | 13225 | 65336 | 423948 |     94 |    50 | 4208 | 1406 |  696 | 6714 | 201 |     
 2014 |     22 |   1983 |  4844 | 44166 | 346001 |     60 |    49 | 2617 | 1043 |  636 |  402 | 146 |     
 2014 |     23 |   1746 |  7789 | 64454 | 324507 |    103 |    47 | 3563 | 1258 |  161 | 2681 | 126 |     
 2014 |     24 |   2562 |  6179 | 59510 | 293277 |    112 |    48 | 3027 | 1096 | 1114 |  637 |  84 |  221
 2014 |     25 |   2042 | 13164 | 55717 | 270787 |     96 |    48 | 3562 | 1168 |  618 | 7707 | 109 |     
 2014 |     26 |   2005 |  7288 | 48127 | 401496 |     63 |    48 | 4103 | 1040 |  621 | 1357 | 167 |     
 2014 |     27 |   1224 |  2254 | 15469 |  57258 |     33 |    44 |  799 |  703 |  191 |  522 |  39 |     
 2014 |     28 |   1149 |  1291 | 17693 |  57613 |     41 |    44 |  200 |  641 |  412 |      |  38 |     
 2014 |     29 |   2558 |  5913 | 52359 | 257650 |     88 |    47 | 3429 | 1466 |  377 |  527 | 114 |     
 2014 |     30 |   2169 |  6184 | 65522 | 293273 |     88 |    49 | 3074 | 1122 |  735 | 1172 |  81 |     
